division,department,category,incident_id,incident_number,incident_type_id,request_type,request_status,request_priority,reported_date,sr_creation_channel,created_by_user,resolution_code,group_name,address1,city,state,parcel_id,sub_district,creation_date,last_update_date,last_updated_by,ce_category,full_address,location1,_100_block_coordinate,:@computed_region_me95_vbw4,:@computed_region_xf2b_u4zq,:@computed_region_gxae_hf64,:@computed_region_stch_rtry,:@computed_region_dgrd_cuuf,:@computed_region_fuzm_ngj2,:@computed_region_scpn_qt9a,:@computed_region_y9za_kydd,resolution_summary,close_date,postal_code,target_block,:@computed_region_m99d_em2n,followup_date,:@computed_region_nyzj_ikpv,district,map_page,area,zone,collection_day,:@computed_region_qnac_u4vd,resolution_code_meaning,incident_resolved_date,last_modified_date,next_open_task_date,owner_name,street_name,number_of_tasks,created_by,last_update_login,swm_code
Public Works,Code Enforcement,Inspection-Vehicle,7122221,7122221,10400,CE-Vehicle Violations,Closed,Low,2024-06-14T16:14:00.000,WEB,Sa_GISIdentitystore,NJ,Memphis,6158 VALLEYDALE DR,MEMPHIS,Tennessee,093505 A00096,3-4,2024-06-14T16:17:53.000,2024-07-09T09:35:45.000,Esri_Anonymous,NOT-CATEGORIZED,6158 VALLEYDALE DR,"{'type': 'Point', 'coordinates': [-89.843526, 35.014313]}","{'type': 'Point', 'coordinates': [-89.858112023, 35.027084008]}",31,10,3,1,8,3,1,8,,,38141,208,2,,,,,,,,,,,,,,,,,,
Public Works,Code Enforcement,Weeds,7059984,7059984,10547,CE-Weeds Occupied Property,Closed,Low,2024-02-28T14:12:00.000,WEB,Esri_Anonymous,JA,Memphis,4324 ELLISTON RD,MEMPHIS,Tennessee,066005  00010,,2024-04-09T09:28:04.000,2024-05-04T09:13:55.000,Esri_Anonymous,NOT-CATEGORIZED,4324 ELLISTON RD,"{'type': 'Point', 'coordinates': [-89.948876, 35.11147]}","{'type': 'Point', 'coordinates': [-89.917897959, 35.085294021]}",10,9,4,2,21,5,2,9,JA SEE Sr#,2024-04-09T09:41:28.000,38111,152,,2024-04-23T09:38:54.000,4,,,,,,,,,,,,,,,,
Public Works,GROUNDS MAINTENANCE,Weeds,7161228,7161228,10205,CW-Weeds Vacant Lots,Closed,Low,2024-09-10T09:09:00.000,WEB,,NO VIOLATION,Memphis,1340 GOLD,MEMPHIS,Tennessee,048018  00041,,2024-09-10T09:14:11.000,2024-09-10T10:37:41.000,,,1340 GOLD,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-90.017441792, 35.10389325]}",3,8,6,1,2,7,1,6,,,,,,,,,,,,,,,,,,,,,,,
Solid Waste Management,Solid Waste Management,Cart Maintenance,7085116,7085116,12747,SWM-Missing Recycle Cart,Closed,Low,2024-05-07T09:29:00.000,WEB,Esri_Anonymous,,Memphis,2241 WASHINGTON AVE,MEMPHIS,Tennessee,028026  00003,,2024-05-07T09:35:17.000,2024-05-07T23:02:55.000,Esri_Anonymous,,2241 WASHINGTON AVE,"{'type': 'Point', 'coordinates': [-90.04925, 35.14976]}","{'type': 'Point', 'coordinates': [-89.986109971, 35.139604982]}",5,8,7,1,2,7,1,6,REPLACE WITH NEW,2024-05-07T00:00:00.000,,,,,,,036,B,B2,,,,,,,,,,,,
Public Works,STREET MAINTENANCE,Maintenance-Potholes,7041435,7041435,10266,PW (SM)-Potholes,Closed,High,2024-01-09T16:27:00.000,WEB,Sa_GISIdentitystore,,Memphis,5399 COTTONWOOD RD,MEMPHIS,Tennessee,074086  00007,,2024-01-09T16:30:19.000,2024-02-08T08:22:39.000,Esri_Anonymous,,5399 COTTONWOOD RD,"{'type': 'Point', 'coordinates': [-90.04925, 35.14976]}","{'type': 'Point', 'coordinates': [-89.883512962, 35.06869802]}",5,8,7,1,2,7,1,6,,2024-01-10T16:27:00.000,,,,,,,068,,,,,,,,,,,,,,
Public Works,Code Enforcement,Weeds,7126465,7126465,10547,CE-Weeds Occupied Property,Closed,Medium,2024-06-19T19:00:00.000,WEB,Sa_GISIdentitystore,NJ,MEMPHIS,AVERY AVE,MEMPHIS,TN,028051  00006,,2024-06-21T08:01:53.000,2024-06-27T12:06:35.000,Esri_Anonymous,NOT-CATEGORIZED,AVERY AVE,"{'type': 'Point', 'coordinates': [-89.9734071, 35.1468552]}","{'type': 'Point', 'coordinates': [-89.97860973, 35.130982145]}",11,9,4,2,18,5,2,9,,,38112,64,7,,,,,,,,,,,,,,,,,,
Public Works,Code Enforcement,Miscellaneous,7093796,7093796,10396,CE-Code Miscellaneous,Closed,Low,2024-05-21T09:12:00.000,WEB,Sa_GISIdentitystore,JA,Memphis,1560 MERTON,MEMPHIS,Tennessee,042068  00080,,2024-05-21T16:03:45.000,2024-05-28T16:41:13.000,Esri_Anonymous,NOT-CATEGORIZED,1560 MERTON,"{'type': 'Point', 'coordinates': [-89.9621139, 35.1767053]}","{'type': 'Point', 'coordinates': [-89.972376977, 35.178226989]}",8,7,7,1,41,7,1,4,,,38108,39,19,,,,,,,,,,,,,,,,,,
Public Works,CE Commercial,Miscellaneous,7096467,7096467,21747,COMM - Miscellaneous,Closed,Medium,2024-05-27T19:00:00.000,WEB,Sa_GISIdentitystore,JA-COMM,MEMPHIS,3085 SUMMER AVE,MEMPHIS,TN,044001  00028,5-2,2024-05-28T12:03:41.000,2024-06-05T15:26:00.000,Esri_Anonymous,NOT-CATEGORIZED,3085 SUMMER AVE,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-89.958292027, 35.149158004]}",3,8,6,1,2,7,1,6,see sr 7085707,,,,,,,,,,,,,,,,,,,,,,
Public Works,Code Enforcement,Inspection-Vehicle,7133668,7133668,10400,CE-Vehicle Violations,Closed,Medium,2024-06-30T19:00:00.000,WEB,Sa_GISIdentitystore,CVOID,MEMPHIS,2523 TURNAGE VALLEY DR,MEMPHIS,TN,095424 B00015,,2024-07-05T06:37:50.000,2024-07-16T08:28:07.000,Esri_Anonymous,NOT-CATEGORIZED,2523 TURNAGE VALLEY DR,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-89.805013002, 35.194274017]}",3,8,6,1,2,7,1,6,,2024-07-16T00:00:00.000,,,,2024-08-05T12:58:17.000,,,,,,,,,,,,,,,,,
Public Works,STREET MAINTENANCE,Maintenance-Potholes,7070153,7070153,10266,PW (SM)-Potholes,Closed,Medium,2024-03-28T19:00:00.000,WEB,Sa_GISIdentitystore,PWSMPHSWR,MEMPHIS,987 IVY RD,MEMPHIS,TN,065032  00011,,2024-03-29T18:03:48.000,2024-04-02T17:57:55.000,Esri_Anonymous,,987 IVY RD,"{'type': 'Point', 'coordinates': [-90.04925, 35.14976]}","{'type': 'Point', 'coordinates': [-89.899729011, 35.104858012]}",5,8,7,1,2,7,1,6,This is a Sewer Cave-In. Street Maint is referring to Sewer Dept.,2024-04-01T10:00:00.000,,,,,,,046,,,,,,,,,,,,,,
Public Works,STREET MAINTENANCE,Maintenance-Potholes,7050378,7050378,10266,PW (SM)-Potholes,Closed,High,2024-02-02T10:19:00.000,WEB,Sa_GISIdentitystore,,Memphis,3961 POINT CHURCH RD,MEMPHIS,Tennessee,072124 B00002,,2024-02-02T10:32:20.000,2024-02-06T06:36:34.000,Esri_Anonymous,,3961 POINT CHURCH RD,"{'type': 'Point', 'coordinates': [-90.04925, 35.14976]}","{'type': 'Point', 'coordinates': [-89.966928991, 35.233738993]}",5,8,7,1,2,7,1,6,,2024-02-06T06:30:00.000,,,,,,,003,,,,,,,,,,,,,,
Public Works,Code Enforcement,Weeds,7122211,7122211,10547,CE-Weeds Occupied Property,Closed,Low,2024-06-14T16:06:00.000,WEB,Sa_GISIdentitystore,NJ,Memphis,6136 VALLEYDALE DR,MEMPHIS,Tennessee,093505 A00099,3-4,2024-06-14T16:09:51.000,2024-07-09T09:34:56.000,Esri_Anonymous,NOT-CATEGORIZED,6136 VALLEYDALE DR,"{'type': 'Point', 'coordinates': [-89.843526, 35.014313]}","{'type': 'Point', 'coordinates': [-89.858802021, 35.027074998]}",31,10,3,1,8,3,1,8,,,38141,208,2,,,,,,,,,,,,,,,,,,
Public Works,STREET MAINTENANCE,Maintenance-Potholes,7064095,7064095,10266,PW (SM)-Potholes,Closed,Medium,2024-03-10T19:00:00.000,WEB,Sa_GISIdentitystore,,MEMPHIS,4668 PRISCILLA AVE,MEMPHIS,TN,087060  00016,,2024-03-11T18:21:36.000,2024-03-21T06:29:59.000,Esri_Anonymous,,4668 PRISCILLA AVE,"{'type': 'Point', 'coordinates': [-90.04925, 35.14976]}","{'type': 'Point', 'coordinates': [-89.90768, 35.208240992]}",5,8,7,1,2,7,1,6,,,,,,,,,017,,,,,,,,,,,,,,
Public Works,Code Enforcement,Inspection-Vehicle,7128178,7128178,10400,CE-Vehicle Violations,Closed,Medium,2024-06-24T19:00:00.000,WEB,Sa_GISIdentitystore,NJ,MEMPHIS,1801 BLAIR HUNT DR,MEMPHIS,TN,050053  00003,6-4,2024-06-25T14:15:07.000,2024-07-20T10:09:59.000,Esri_Anonymous,NOT-CATEGORIZED,1801 BLAIR HUNT DR,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-90.064652008, 35.097977014]}",3,8,6,1,2,7,1,6,07-20-2024 NJ NO VIOLATION AT TIME OF INSPECTION (JN),,,,,,,,,,,,,,,,,,,,,,
Public Works,Code Enforcement,Miscellaneous,7050463,7050463,10396,CE-Code Miscellaneous,Closed,Low,2024-02-02T11:48:00.000,WEB,Sa_GISIdentitystore,CO,Memphis,108 N AUBURNDALE ST,MEMPHIS,Tennessee,017048  00029,,2024-02-02T12:02:05.000,2024-02-02T15:50:04.000,Esri_Anonymous,NOT-CATEGORIZED,108 N AUBURNDALE ST,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-90.001553963, 35.141641994]}",3,8,6,1,2,7,1,6,,2024-02-02T00:00:00.000,,,,,,,,,,,,,,,,,,,,,
Public Works,ENVIRONMENTAL MAINTENANCE,Others,7108350,7108350,10691,EMI-Manhole Cover Problem,Closed,Low,2024-06-13T08:34:00.000,WEB,Sa_GISIdentitystore,,CITIZEN,"Poplar Ave, Memphis, TN, 38111, USA",MEMPHIS,Tennessee,,,2024-06-13T08:37:12.000,2024-06-18T07:53:43.000,Esri_Anonymous,,"Poplar Ave, Memphis, TN, 38111, USA","{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-89.848791197, 35.099933789]}",3,8,6,1,2,7,1,6,No problem with sewer manhole cover,,,,,,,,,,,,,,,,,,,,,,
Public Works,HEAVY EQUIPMENT SERVICES,Cleanup,7003694,7003694,10203,PW (HE)-Street Cleaning,Closed,Medium,2023-10-23T17:32:06.000,WEB,Esri_Anonymous,,MEMPHIS,1928 POPLAR AVE,MEMPHIS,TN,020081  00002C,,2024-05-01T15:19:55.000,2024-05-03T06:25:08.000,Esri_Anonymous,,1928 POPLAR AVE,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-89.99477996, 35.145693009]}",3,8,6,1,2,7,1,6,state route refer to TDOT,2023-11-02T00:00:00.000,,,,,,,,,,,,,,,,,,,,,
Public Works,HEAVY EQUIPMENT SERVICES,Cleanup,7043939,7043939,10203,PW (HE)-Street Cleaning,Closed,Medium,2023-10-31T19:00:00.000,WEB,Esri_Anonymous,,MEMPHIS,NONCONNAH PKWY,MEMPHIS,TN,081052  00030,,2024-05-13T14:33:28.000,2024-05-14T06:20:30.000,Esri_Anonymous,,NONCONNAH PKWY,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-89.821443086, 35.052535804]}",3,8,6,1,2,7,1,6,found nothing at this location,2023-10-24T00:00:00.000,,,,,,,,,,,,,,,,,,,,,
Solid Waste Management,Solid Waste Management,Garbage,7059185,7059185,10431,SWM-Missed Bulk Trash,Closed,Low,2024-02-26T16:57:00.000,WEB,Esri_Anonymous,SWMCT4,CITIZEN,"191 Magnolia Dr, Memphis, TN, 38117, USA",MEMPHIS,Tennessee,055010  00003,,2024-04-23T11:00:39.000,2024-04-25T13:00:49.000,Esri_Anonymous,,"191 Magnolia Dr, Memphis, TN, 38117, USA","{'type': 'Point', 'coordinates': [-89.90462, 35.1118945]}","{'type': 'Point', 'coordinates': [-89.925783989, 35.136683008]}",16,9,4,2,,5,2,2,Picked up,2024-04-25T13:00:21.000,38117,,,,,,038,B,B3,3,,,,,,,,,,,
Solid Waste Management,Solid Waste Management,Garbage,7063797,7063797,10431,SWM-Missed Bulk Trash,Closed,Low,2024-03-11T11:03:00.000,WEB,Esri_Anonymous,SWMCT4,Memphis,3638 DEBBY DR,MEMPHIS,Tennessee,072099  00028,,2024-04-19T11:53:34.000,2024-04-25T13:12:42.000,Esri_Anonymous,,3638 DEBBY DR,"{'type': 'Point', 'coordinates': [-90.005192, 35.220885]}","{'type': 'Point', 'coordinates': [-89.98143597, 35.224882003]}",23,1,7,1,12,7,1,3,pu,2024-04-25T00:00:00.000,38127,,4,,,,009,A,A3,2,,,,,,,,,,,
Solid Waste Management,Solid Waste Management,Garbage,7065390,7065390,10431,SWM-Missed Bulk Trash,Closed,Medium,2024-03-13T19:00:00.000,WEB,Esri_Anonymous,SWMCT4,MEMPHIS,0,MEMPHIS,TN,069077  00027,,2024-04-22T09:06:17.000,2024-04-26T17:42:26.000,Esri_Anonymous,,0,"{'type': 'Point', 'coordinates': [-90.0526264, 35.1456981]}","{'type': 'Point', 'coordinates': [-90.0526264, 35.1456981]}",3,8,6,1,3,7,1,6,pu,2024-04-26T00:00:00.000,38103,,,,,,202,A,A3,5,,,,,,,,,,,
Public Works,ENVIRONMENTAL MAINTENANCE,Others,7066098,7066098,10688,EMI-Sewer Backup,Closed,Low,2024-03-18T11:17:00.000,WEB,Esri_Anonymous,EMICRESS,Memphis,774 EVA ST,MEMPHIS,Tennessee,052028  00039,,2024-04-22T22:00:47.000,2024-04-23T09:40:01.000,Esri_Anonymous,,774 EVA ST,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-89.974967991, 35.156447997]}",3,8,6,1,2,7,1,6,SPOKE WITH RESIDENT-  THEY DID NOT CALL FOR SERVICE. 238-MT,2024-04-23T09:30:00.000,,,,,,,,,,,,,,,,,,,,,
Public Works,Code Enforcement,Miscellaneous,7059657,7059657,10396,CE-Code Miscellaneous,Closed,Low,2024-02-27T16:03:00.000,WEB,Sa_GISIdentitystore,CVOM,Memphis,3541 MEDITERRANEAN DR,MEMPHIS,Tennessee,073041  00111,,2024-02-27T16:17:59.000,2024-04-22T12:05:31.000,Esri_Anonymous,NOT-CATEGORIZED,3541 MEDITERRANEAN DR,"{'type': 'Point', 'coordinates': [-89.9258359, 35.0439658]}","{'type': 'Point', 'coordinates': [-89.917544997, 35.05212201]}",17,11,3,1,8,3,1,8,04/19/24 At time of reinspection all is ok.,2024-04-19T12:04:54.000,38118,201,2,2024-03-20T23:00:00.000,,,,,,,,,,,,,,,,,
Public Works,Code Enforcement,Miscellaneous,7063707,7063707,10396,CE-Code Miscellaneous,Closed,Low,2024-03-11T09:00:00.000,WEB,Esri_Anonymous,INSUF,Memphis,1146 DELLWOOD AVE,MEMPHIS,Tennessee,070013  00089,,2024-03-11T12:48:43.000,2024-03-20T15:59:25.000,Esri_Anonymous,NOT-CATEGORIZED,1146 DELLWOOD AVE,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-90.025860979, 35.211761014]}",3,8,6,1,2,7,1,6,,,,,,,,,,,,,,,,,,,,,,,
Public Works,CE Commercial,Miscellaneous,7043114,7043114,21747,COMM - Miscellaneous,Closed,Medium,2024-01-18T18:00:00.000,WEB,Esri_Anonymous,CO-COMM,MEMPHIS,59 DEVON WAY,MEMPHIS,TN,044119  00016,,2024-01-24T14:30:12.000,2024-05-16T10:48:45.000,Esri_Anonymous,NOT-CATEGORIZED,59 DEVON WAY,"{'type': 'Point', 'coordinates': [-89.948876, 35.11147]}","{'type': 'Point', 'coordinates': [-89.931067019, 35.13321202]}",10,9,4,2,21,5,2,9,Transfer to Code Enforcement,2024-05-15T18:00:00.000,38111,67,,,4,,,,,,,,,,,,,,,,
Public Works,Engineering,Maintenance,,7020754,10264,PW (SM)-Street/Pavement Inspection,Closed,Low,2023-12-20T11:58:00.000,PHONE,kimberly.smith,OTHER,Memphis,299 S PARKWAY E,MEMPHIS,Tennessee,034001  00002,,2023-12-20T12:00:17.000,2024-01-03T15:57:54.000,allie.harrison,,299 S PARKWAY E,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-90.052504032, 35.107211985]}",3,8,6,1,2,7,1,6,Serviced by Public Works,2023-12-28T00:00:00.000,,,,,,,,,,,,,,,,,,,,,
Public Works,Code Enforcement,Inspection-Vehicle,7052211,7052211,10400,CE-Vehicle Violations,Closed,Medium,2024-02-06T18:00:00.000,WEB,Sa_GISIdentitystore,CVOYC,MEMPHIS,3130 N TREZEVANT ST,MEMPHIS,TN,072066  00004,1-1,2024-02-07T10:15:36.000,2024-07-11T12:32:23.000,Esri_Anonymous,NOT-CATEGORIZED,3130 N TREZEVANT ST,"{'type': 'Point', 'coordinates': [-90.005192, 35.220885]}","{'type': 'Point', 'coordinates': [-89.978494006, 35.210965991]}",23,1,7,1,12,7,1,3,,2024-06-21T11:24:12.000,38127,10,4,,,,,,,,,,,,,,,,,,
Public Works,ENVIRONMENTAL MAINTENANCE,Environmental Maintenance,7059148,7059148,10693,EMI-Cave In,Closed,Medium,2024-02-25T18:00:00.000,WEB,Sa_GISIdentitystore,,MEMPHIS,2442 HAWKHURST ST,MEMPHIS,TN,081051  00053,2-2,2024-02-26T15:53:55.000,2024-07-02T07:04:09.000,Esri_Anonymous,,2442 HAWKHURST ST,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-89.862784012, 35.082230016]}",3,8,6,1,2,7,1,6,NO ISSUE FOUND.,,,,,,,,,,,,,,,,,,,,,,
Public Works,Code Enforcement,Miscellaneous,7040773,7040773,10396,CE-Code Miscellaneous,Closed,Low,2024-01-08T12:27:00.000,WEB,Sa_GISIdentitystore,CVOM,Memphis,2115 OXFORD SQUARE CT,MEMPHIS,Tennessee,079021  00073,3-1,2024-01-08T12:35:00.000,2024-06-14T09:06:02.000,Esri_Anonymous,NOT-CATEGORIZED,2115 OXFORD SQUARE CT,"{'type': 'Point', 'coordinates': [-90.014934, 35.034303]}","{'type': 'Point', 'coordinates': [-89.993183962, 35.03323402]}",15,12,3,1,43,3,1,7,,,38116,185,21,,,,,,,,1,,,,,,,,,,
Public Works,ENVIRONMENTAL MAINTENANCE,Environmental Maintenance,7013658,7013658,10693,EMI-Cave In,Closed,High,2023-11-29T09:51:00.000,WEB,Sa_GISIdentitystore,,Memphis,4345 PARK FOREST DR,MEMPHIS,Tennessee,093510 B00005,3-4,2023-11-29T17:53:40.000,2024-07-08T12:27:06.000,Esri_Anonymous,,4345 PARK FOREST DR,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-89.852717011, 35.030044999]}",3,8,6,1,2,7,1,6,DUPLICATE TO SR#7085878,2024-07-07T23:00:00.000,,,,,,,,,,,,,,,,,,,,,
Public Works,Street Maintenance,Maintenance,,7016920,10264,PW (SM)-Street/Pavement Inspection,Closed,Medium,2023-12-06T18:00:00.000,WEB,Esri_Anonymous,OTHER,MEMPHIS,0 POPLAR,MEMPHIS,TN,067102  00009,,2023-12-08T10:50:41.000,2023-12-22T07:51:00.000,Esri_Anonymous,,0 POPLAR,"{'type': 'Point', 'coordinates': [-90.04925, 35.14976]}","{'type': 'Point', 'coordinates': [-89.848791197, 35.099933789]}",5,8,7,1,2,7,1,6,,2023-12-14T00:00:00.000,,,,,,,,,,,,,,,,,,,,,
Public Works,Code Enforcement,Inspection-Vehicle,7052898,7052898,10400,CE-Vehicle Violations,Closed,Medium,2024-02-07T18:00:00.000,WEB,Sa_GISIdentitystore,CVOYC,MEMPHIS,4700 ROYAL RIDGE DR,MEMPHIS,TN,090003  00009,1-1,2024-02-08T11:44:00.000,2024-07-03T10:29:40.000,Esri_Anonymous,NOT-CATEGORIZED,4700 ROYAL RIDGE DR,"{'type': 'Point', 'coordinates': [-89.9262716, 35.2193801]}","{'type': 'Point', 'coordinates': [-89.938043025, 35.254340998]}",24,2,1,2,25,1,2,3,,2024-07-03T10:28:38.000,38128,15,10,,,,,,,,,,,,,,,,,,
